species	animal	sp_common	bird_ID	captive_status	sex	Location	Food_deprivation_time	Shyness	Neophobia	tPS1234	lPS1234	tDetour_reaching	lDetour_reaching	tLearning	lLearning	tReversal_learning	lReversal_learning	Bodyweight	Relative_brain_size	Call_rep	lCall_rep	Song_rep	lSong_rep	SongCall_rep	lSongCall_rep	VLC	VLTnum	OCnum	OCsongnum	Mnum	VLT
Turdus_migratorius	Turdus_migratorius	American robin	606	wild	M	Cage wash	1.23	0.812726925	0.275607849	1.5	0.176	47	1.672	11	1.041	26	1.415	1.941	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Turdus_migratorius	Turdus_migratorius	American robin	607	wild	M	Campus field	1.207	2.237472055	0.18856418	7.75	0.889	23	1.362	17	1.23	15	1.176	1.875	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Zenaida_macroura	Zenaida_macroura	Mourning dove	607	wild	M	L-shaped field	1.233	1.981542626	0.363442305	11	1.041	30	1.477	NA	NA	NA	NA	2.075	-0.549	4.5	0.653	1	0.301	5.5	0.74	-1.34658117	1	0	0	0	Closed
Turdus_migratorius	Turdus_migratorius	American robin	608	wild	M	Campus field	1.21	2.199000717	0.898579374	5.67	0.754	31	1.491	24	1.38	15	1.176	1.9	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Turdus_migratorius	Turdus_migratorius	American robin	611	wild	M	Cage wash	1.188	1.035870803	0.084274644	7.75	0.889	34	1.531	27	1.431	61	1.785	1.863	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Turdus_migratorius	Turdus_migratorius	American robin	616	wild	M	Condo	1.267	1.197181699	0.245356341	7.5	0.875	51	1.708	11	1.041	23	1.362	1.911	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Turdus_migratorius	Turdus_migratorius	American robin	617	wild	M	Condo	1.272	1.061809137	0.196655321	3.5	0.544	25	1.398	13	1.114	26	1.415	1.897	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Turdus_migratorius	Turdus_migratorius	American robin	618	wild	M	Condo	1.276	1.425937378	0.721794125	4.25	0.628	27	1.431	21	1.322	17	1.23	1.842	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	619	wild	M	Campus field	1.279	1.803163746	0.863831031	7.25	0.86	7	0.845	20	1.301	36	1.556	1.918	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Turdus_migratorius	Turdus_migratorius	American robin	620	wild	M	Campus field	1.281	1.272011862	0.321101984	2.75	0.439	31	1.491	15	1.176	17	1.23	1.924	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	623	wild	M	Condo	1.294	1.76131343	1.143113247	5.75	0.76	19	1.279	17	1.23	28	1.447	1.96	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	626	wild	M	Condo	1.297	1.711357394	1.30145718	5.75	0.76	12	1.079	14	1.146	25	1.398	1.985	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	627	wild	M	Lake	1.297	1.675167724	0.792465322	8.5	0.929	24	1.38	12	1.079	19	1.279	1.969	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Turdus_migratorius	Turdus_migratorius	American robin	628	wild	M	Condo	1.255	1.064831262	0.351039315	3.75	0.574	47	1.672	15	1.176	16	1.204	1.87	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Turdus_migratorius	Turdus_migratorius	American robin	629	wild	M	Campus field	1.241	1.063403398	0.242535465	3.5	0.544	21	1.322	7	0.845	19	1.279	1.861	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	631	wild	F	Condo	1.25	1.364433394	0.653248176	5.25	0.72	9	0.954	25	1.398	31	1.491	1.94	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	632	wild	F	L-shaped field	1.253	2.445586257	0.349761186	6	0.778	27	1.431	8	0.903	15	1.176	2.005	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	633	wild	M	L-shaped field	1.243	1.197327298	0.22016733	6	0.778	28	1.447	13	1.114	28	1.447	1.964	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Agelaius_phoeniceus	Agelaius_phoeniceus	Red-winged blackbird	634	wild	M	Swamp	1.22	0.890223135	0.17250379	3.5	0.544	13	1.114	9	0.954	34	1.531	1.706	0.139	11	1.041	5.6	0.82	16.6	1.22	0.45991862	3	1	1	0	Open
Agelaius_phoeniceus	Agelaius_phoeniceus	Red-winged blackbird	635	wild	M	Campus field	1.225	1.338002191	0.00287495	3.5	0.544	21	1.322	16	1.204	42	1.623	1.706	0.139	11	1.041	5.6	0.82	16.6	1.22	0.45991862	3	1	1	0	Open
Turdus_migratorius	Turdus_migratorius	American robin	636	wild	M	Swamp	1.228	1.234771185	0.113569961	6	0.778	20	1.301	8	0.903	27	1.431	1.846	0.007	7.67	0.885	12.99	1.146	20.66	1.315	0.57941059	3	1	1	0	Open
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	638	wild	M	L-shaped field	1.236	2.36960906	-0.213424348	8	0.903	20	1.301	11	1.041	16	1.204	1.912	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
